way,name,way_id,node_id,highway,lat,lng,bearing
"<overpy.Way id=117042161 nodes=[1318532531, 1318532442, 1318532436, 7028101351, 7028101352, 1318532509, 1318532427, 1318532536, 1318532461, 1318532414, 1318532412, 1318532390, 6953133125, 6953133124, 1318532486, 6365357160, 6953133122, 1318532417, 6953133123]>",Drop Off - Anson Rd Entrance,117042161,6953133125,service,1.2753665,103.8469882,180.64118500241878
"<overpy.Way id=117042161 nodes=[1318532531, 1318532442, 1318532436, 7028101351, 7028101352, 1318532509, 1318532427, 1318532536, 1318532461, 1318532414, 1318532412, 1318532390, 6953133125, 6953133124, 1318532486, 6365357160, 6953133122, 1318532417, 6953133123]>",Drop Off - Anson Rd Entrance,117042161,6953133124,service,1.2753397,103.8469879,193.87169448486162
"<overpy.Way id=117042161 nodes=[1318532531, 1318532442, 1318532436, 7028101351, 7028101352, 1318532509, 1318532427, 1318532536, 1318532461, 1318532414, 1318532412, 1318532390, 6953133125, 6953133124, 1318532486, 6365357160, 6953133122, 1318532417, 6953133123]>",Drop Off - Anson Rd Entrance,117042161,1318532486,service,1.2753146,103.8469817,210.8546418816521
"<overpy.Way id=117042161 nodes=[1318532531, 1318532442, 1318532436, 7028101351, 7028101352, 1318532509, 1318532427, 1318532536, 1318532461, 1318532414, 1318532412, 1318532390, 6953133125, 6953133124, 1318532486, 6365357160, 6953133122, 1318532417, 6953133123]>",Drop Off - Anson Rd Entrance,117042161,6365357160,service,1.2752982,103.8469719,231.72358180356176
"<overpy.Way id=117042161 nodes=[1318532531, 1318532442, 1318532436, 7028101351, 7028101352, 1318532509, 1318532427, 1318532536, 1318532461, 1318532414, 1318532412, 1318532390, 6953133125, 6953133124, 1318532486, 6365357160, 6953133122, 1318532417, 6953133123]>",Drop Off - Anson Rd Entrance,117042161,6953133122,service,1.2752769,103.8469449,238.07662086190078
"<overpy.Way id=117042161 nodes=[1318532531, 1318532442, 1318532436, 7028101351, 7028101352, 1318532509, 1318532427, 1318532536, 1318532461, 1318532414, 1318532412, 1318532390, 6953133125, 6953133124, 1318532486, 6365357160, 6953133122, 1318532417, 6953133123]>",Drop Off - Anson Rd Entrance,117042161,1318532417,service,1.2752660,103.8469274,245.67727903924924
"<overpy.Way id=117042161 nodes=[1318532531, 1318532442, 1318532436, 7028101351, 7028101352, 1318532509, 1318532427, 1318532536, 1318532461, 1318532414, 1318532412, 1318532390, 6953133125, 6953133124, 1318532486, 6365357160, 6953133122, 1318532417, 6953133123]>",Drop Off - Anson Rd Entrance,117042161,6953133123,service,1.2752552,103.8469035,
"<overpy.Way id=654754079 nodes=[1318532545, 1318693247]>",Prince Edward Road,654754079,1318532545,tertiary,1.2751386,103.8471420,295.89195325719766
"<overpy.Way id=654754079 nodes=[1318532545, 1318693247]>",Prince Edward Road,654754079,1318693247,tertiary,1.2752408,103.8469314,
"<overpy.Way id=117042702 nodes=[1318544653, 7867196157, 1318544672, 1318544655, 1318544664, 7859959363, 4724923628]>",Cecil Street,117042702,1318544653,secondary,1.2761893,103.8468201,21.544249532650497
"<overpy.Way id=117042702 nodes=[1318544653, 7867196157, 1318544672, 1318544655, 1318544664, 7859959363, 4724923628]>",Cecil Street,117042702,7867196157,secondary,1.2763658,103.8468898,21.471947189642606
"<overpy.Way id=117042702 nodes=[1318544653, 7867196157, 1318544672, 1318544655, 1318544664, 7859959363, 4724923628]>",Cecil Street,117042702,1318544672,secondary,1.2764085,103.8469066,18.153949190121068
"<overpy.Way id=117042702 nodes=[1318544653, 7867196157, 1318544672, 1318544655, 1318544664, 7859959363, 4724923628]>",Cecil Street,117042702,1318544655,secondary,1.2765640,103.8469576,10.6580482002052
"<overpy.Way id=117042702 nodes=[1318544653, 7867196157, 1318544672, 1318544655, 1318544664, 7859959363, 4724923628]>",Cecil Street,117042702,1318544664,secondary,1.2767919,103.8470005,6.197987626896122
"<overpy.Way id=117042702 nodes=[1318544653, 7867196157, 1318544672, 1318544655, 1318544664, 7859959363, 4724923628]>",Cecil Street,117042702,7859959363,secondary,1.2768232,103.8470039,6.077485693561528
"<overpy.Way id=117042702 nodes=[1318544653, 7867196157, 1318544672, 1318544655, 1318544664, 7859959363, 4724923628]>",Cecil Street,117042702,4724923628,secondary,1.2768786,103.8470098,
"<overpy.Way id=173767571 nodes=[1318544653, 1735498453, 7859959364, 4724923625]>",Anson Road,173767571,1318544653,trunk,1.2761893,103.8468201,40.76697068025709
"<overpy.Way id=173767571 nodes=[1318544653, 1735498453, 7859959364, 4724923625]>",Anson Road,173767571,1735498453,trunk,1.2764618,103.8470551,48.957611786628775
"<overpy.Way id=173767571 nodes=[1318544653, 1735498453, 7859959364, 4724923625]>",Anson Road,173767571,7859959364,trunk,1.2766075,103.8472225,48.95516675812536
"<overpy.Way id=173767571 nodes=[1318544653, 1735498453, 7859959364, 4724923625]>",Anson Road,173767571,4724923625,trunk,1.2766290,103.8472472,
"<overpy.Way id=22010713 nodes=[1318544659, 8167521119, 4688497330, 4950019978, 1318544675]>",Cecil Street,22010713,1318544659,secondary,1.2770557,103.8470143,358.30252594784287
"<overpy.Way id=22010713 nodes=[1318544659, 8167521119, 4688497330, 4950019978, 1318544675]>",Cecil Street,22010713,8167521119,secondary,1.2771704,103.8470109,358.28421211261195
"<overpy.Way id=22010713 nodes=[1318544659, 8167521119, 4688497330, 4950019978, 1318544675]>",Cecil Street,22010713,4688497330,secondary,1.2772505,103.8470085,357.5392903947354
